//ID, Name,           kName,           iROName,         LV,   HP,   SP,   EXP,  JEXP, Range1, ATK1, ATK2, DEF,  MDEF, STR,  AGI,  VIT,  INT,  DEX,  LUK,  Range2, Range3,  Scale, Race, Element, Mode,   Speed, Adelay,  Amotion,  Dmotion, MEXP, MVP1id, MVP1per, MVP2id, MVP2per, MVP3id, MVP3per, Drop1id, Drop1per, Drop2id, Drop2per, Drop3id, Drop3per, Drop4id, Drop4per, Drop5id, Drop5per, Drop6id, Drop6per, Drop7id, Drop7per, Drop8id, Drop8per, Drop9id, Drop9per, DropCardid, DropCardper
1002, Piou,           Piou,            Piou,            1,    40,   0,    1,    0,    1,      1,    4,    0,    0,    1,    1,    1,    0,    6,    1,    1,      1000,    0,     2,    24,      0x0081, 800,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        701,     2300,     505,     2700,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1003, Piousse,        Piousse,         Piousse,         3,    40,   0,    2,    0,    1,      5,    8,    1,    0,    2,    1,    1,    1,    6,    1,    1,      1000,    0,     2,    24,      0x0081, 800,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        703,     4000,     505,     3000,     701,     3000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1004, Tortuga,        Tortuga,         Tortuga,         2,    120,  0,    3,    0,    1,      8,    13,   5,    0,    4,    1,    1,    1,    8,    5,    1,      12,      0,     2,    21,      0x0281, 900,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        702,     1880,     506,     1800,     709,     1000,     503,     800,      508,     500,      509,     500,      708,     500,      724,     500,      0,       0,        0,         0        
1005, Ratto,          Ratto,           Ratto,           5,    140,  0,    5,    0,    1,      10,   15,   2,    0,    5,    10,   1,    1,    6,    5,    1,      12,      0,     2,    25,      0x0283, 400,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        504,     2000,     705,     1000,     704,     700,      507,     700,      724,     700,      0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1006, Croc,           Croc,            Croc,            10,   240,  0,    14,   0,    1,      30,   45,   10,   0,    10,   1,    2,    1,    10,   10,   1,      12,      0,     2,    21,      0x0281, 800,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        706,     2000,     712,     1300,     509,     1800,     508,     700,      711,     500,      0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1007, LittleBlub,     Little Blub,     Little Blub,     4,    160,  0,    6,    0,    1,      18,   28,   4,    0,    3,    7,    5,    1,    12,   7,    1,      12,      0,     2,    21,      0x008B, 500,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        700,     1500,     510,     1500,     509,     1500,     508,     1000,     712,     1000,     711,     300,      710,     10,       0,       0,        0,       0,        0,         0        
1008, Blub,           Blub,            Blub,            15,   400,  0,    25,   0,    1,      30,   36,   20,   0,    8,    15,   20,   1,    13,   20,   1,      12,      1,     2,    21,      0x02A7, 700,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1009, ToppyBlub,      Toppy Blub,      Toppy Blub,      18,   250,  0,    30,   0,    1,      45,   55,   15,   0,    15,   10,   5,    1,    20,   13,   1,      12,      1,     2,    21,      0x0283, 600,   1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1010, Crocotree,      Crocotree,       Crocotree,       1,    300,  0,    2,    0,    1,      1,    1,    1,    0,    2,    8,    10,   1,    1,    20,   1,      12,      0,     3,    22,      0x0000, 800,   800,     672,      480,     0,    ,       ,        ,       ,        ,       ,        512,     4200,     513,     3300,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1011, PlushroomField, Plushroom Field, Plushroom Field, 1,    1,    0,    0,    0,    1,      0,    0,    0,    0,    1,    1,    1,    1,    1,    1,    1,      12,      2,     3,    22,      0x0000, 1000,  800,     672,      480,     0,    ,       ,        ,       ,        ,       ,        515,     7000,     723,     2000,     724,     300,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1012, Frostiana,      Frostiana,       Frostiana,       6,    80,   0,    2,    0,    1,      8,    13,   5,    0,    2,    1,    5,    1,    10,   5,    1,      12,      2,     3,    22,      0x0084, 1000,  2400,    672,      480,     0,    ,       ,        ,       ,        ,       ,        723,     4000,     724,     700,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1013, Pikpik,         Pikpik,          Pikpik,          10,   10,   0,    5,    0,    0,      40,   58,   15,   0,    5,    1,    10,   1,    15,   10,   1,      12,      0,     2,    21,      0x0084, 1000,  1872,    672,      480,     0,    ,       ,        ,       ,        ,       ,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1014, Croconut,       Croconut,        Croconut,        5,    5,    0,    0,    0,    1,      10,   15,   1,    0,    5,    1,    1,    1,    14,   7,    1,      12,      0,     3,    21,      0x0084, 1000,  800,     672,      480,     0,    ,       ,        ,       ,        ,       ,        512,     4200,     513,     3300,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1015, Tipiu,          Tipiu,           Tipiu,           20,   2000, 0,    100,  0,    1,      20,   40,   20,   0,    10,   5,    20,   0,    35,   15,   1,      1000,    0,     2,    24,      0x108D, 300,   1120,    1672,     100,     0,    ,       ,        ,       ,        ,       ,        701,     3700,     505,     4000,     519,     3000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
1016, Tipiou,         Tipiou,          Tipiou,          15,   1800, 0,    90,   0,    1,      30,   47,   15,   0,    15,   5,    15,   0,    25,   10,   1,      12,      0,     2,    24,      0x1089, 300,   1120,    1672,     100,     0,    ,       ,        ,       ,        ,       ,        701,     3300,     505,     3700,     519,     3000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,         0        
